example,month,half_month,day,day_of_year,leap_example,leap_month,leap_half_month,leap_day
2001-01-01,1,1.3,1,1,2000-01-01,1,1.3,1
2001-01-02,1,1.3,2,2,2000-01-02,1,1.3,2
2001-01-03,1,1.3,3,3,2000-01-03,1,1.3,3
2001-01-04,1,1.3,4,4,2000-01-04,1,1.3,4
2001-01-05,1,1.3,5,5,2000-01-05,1,1.3,5
2001-01-06,1,1.3,6,6,2000-01-06,1,1.3,6
2001-01-07,1,1.3,7,7,2000-01-07,1,1.3,7
2001-01-08,1,1.3,8,8,2000-01-08,1,1.3,8
2001-01-09,1,1.3,9,9,2000-01-09,1,1.3,9
2001-01-10,1,1.3,10,10,2000-01-10,1,1.3,10
2001-01-11,1,1.3,11,11,2000-01-11,1,1.3,11
2001-01-12,1,1.3,12,12,2000-01-12,1,1.3,12
2001-01-13,1,1.3,13,13,2000-01-13,1,1.3,13
2001-01-14,1,1.3,14,14,2000-01-14,1,1.3,14
2001-01-15,1,1.3,15,15,2000-01-15,1,1.3,15
2001-01-16,1,1.7,16,16,2000-01-16,1,1.7,16
2001-01-17,1,1.7,17,17,2000-01-17,1,1.7,17
2001-01-18,1,1.7,18,18,2000-01-18,1,1.7,18
2001-01-19,1,1.7,19,19,2000-01-19,1,1.7,19
2001-01-20,1,1.7,20,20,2000-01-20,1,1.7,20
2001-01-21,1,1.7,21,21,2000-01-21,1,1.7,21
2001-01-22,1,1.7,22,22,2000-01-22,1,1.7,22
2001-01-23,1,1.7,23,23,2000-01-23,1,1.7,23
2001-01-24,1,1.7,24,24,2000-01-24,1,1.7,24
2001-01-25,1,1.7,25,25,2000-01-25,1,1.7,25
2001-01-26,1,1.7,26,26,2000-01-26,1,1.7,26
2001-01-27,1,1.7,27,27,2000-01-27,1,1.7,27
2001-01-28,1,1.7,28,28,2000-01-28,1,1.7,28
2001-01-29,1,1.7,29,29,2000-01-29,1,1.7,29
2001-01-30,1,1.7,30,30,2000-01-30,1,1.7,30
2001-01-31,1,1.7,31,31,2000-01-31,1,1.7,31
2001-02-01,2,2.3,1,32,2000-02-01,2,2.3,1
2001-02-02,2,2.3,2,33,2000-02-02,2,2.3,2
2001-02-03,2,2.3,3,34,2000-02-03,2,2.3,3
2001-02-04,2,2.3,4,35,2000-02-04,2,2.3,4
2001-02-05,2,2.3,5,36,2000-02-05,2,2.3,5
2001-02-06,2,2.3,6,37,2000-02-06,2,2.3,6
2001-02-07,2,2.3,7,38,2000-02-07,2,2.3,7
2001-02-08,2,2.3,8,39,2000-02-08,2,2.3,8
2001-02-09,2,2.3,9,40,2000-02-09,2,2.3,9
2001-02-10,2,2.3,10,41,2000-02-10,2,2.3,10
2001-02-11,2,2.3,11,42,2000-02-11,2,2.3,11
2001-02-12,2,2.3,12,43,2000-02-12,2,2.3,12
2001-02-13,2,2.3,13,44,2000-02-13,2,2.3,13
2001-02-14,2,2.3,14,45,2000-02-14,2,2.3,14
2001-02-15,2,2.3,15,46,2000-02-15,2,2.3,15
2001-02-16,2,2.7,16,47,2000-02-16,2,2.7,16
2001-02-17,2,2.7,17,48,2000-02-17,2,2.7,17
2001-02-18,2,2.7,18,49,2000-02-18,2,2.7,18
2001-02-19,2,2.7,19,50,2000-02-19,2,2.7,19
2001-02-20,2,2.7,20,51,2000-02-20,2,2.7,20
2001-02-21,2,2.7,21,52,2000-02-21,2,2.7,21
2001-02-22,2,2.7,22,53,2000-02-22,2,2.7,22
2001-02-23,2,2.7,23,54,2000-02-23,2,2.7,23
2001-02-24,2,2.7,24,55,2000-02-24,2,2.7,24
2001-02-25,2,2.7,25,56,2000-02-25,2,2.7,25
2001-02-26,2,2.7,26,57,2000-02-26,2,2.7,26
2001-02-27,2,2.7,27,58,2000-02-27,2,2.7,27
2001-02-28,2,2.7,28,59,2000-02-28,2,2.7,28
2001-03-01,3,3.3,1,60,2000-02-29,2,2.7,29
2001-03-02,3,3.3,2,61,2000-03-01,3,3.3,1
2001-03-03,3,3.3,3,62,2000-03-02,3,3.3,2
2001-03-04,3,3.3,4,63,2000-03-03,3,3.3,3
2001-03-05,3,3.3,5,64,2000-03-04,3,3.3,4
2001-03-06,3,3.3,6,65,2000-03-05,3,3.3,5
2001-03-07,3,3.3,7,66,2000-03-06,3,3.3,6
2001-03-08,3,3.3,8,67,2000-03-07,3,3.3,7
2001-03-09,3,3.3,9,68,2000-03-08,3,3.3,8
2001-03-10,3,3.3,10,69,2000-03-09,3,3.3,9
2001-03-11,3,3.3,11,70,2000-03-10,3,3.3,10
2001-03-12,3,3.3,12,71,2000-03-11,3,3.3,11
2001-03-13,3,3.3,13,72,2000-03-12,3,3.3,12
2001-03-14,3,3.3,14,73,2000-03-13,3,3.3,13
2001-03-15,3,3.3,15,74,2000-03-14,3,3.3,14
2001-03-16,3,3.7,16,75,2000-03-15,3,3.3,15
2001-03-17,3,3.7,17,76,2000-03-16,3,3.7,16
2001-03-18,3,3.7,18,77,2000-03-17,3,3.7,17
2001-03-19,3,3.7,19,78,2000-03-18,3,3.7,18
2001-03-20,3,3.7,20,79,2000-03-19,3,3.7,19
2001-03-21,3,3.7,21,80,2000-03-20,3,3.7,20
2001-03-22,3,3.7,22,81,2000-03-21,3,3.7,21
2001-03-23,3,3.7,23,82,2000-03-22,3,3.7,22
2001-03-24,3,3.7,24,83,2000-03-23,3,3.7,23
2001-03-25,3,3.7,25,84,2000-03-24,3,3.7,24
2001-03-26,3,3.7,26,85,2000-03-25,3,3.7,25
2001-03-27,3,3.7,27,86,2000-03-26,3,3.7,26
2001-03-28,3,3.7,28,87,2000-03-27,3,3.7,27
2001-03-29,3,3.7,29,88,2000-03-28,3,3.7,28
2001-03-30,3,3.7,30,89,2000-03-29,3,3.7,29
2001-03-31,3,3.7,31,90,2000-03-30,3,3.7,30
2001-04-01,4,4.3,1,91,2000-03-31,3,3.7,31
2001-04-02,4,4.3,2,92,2000-04-01,4,4.3,1
2001-04-03,4,4.3,3,93,2000-04-02,4,4.3,2
2001-04-04,4,4.3,4,94,2000-04-03,4,4.3,3
2001-04-05,4,4.3,5,95,2000-04-04,4,4.3,4
2001-04-06,4,4.3,6,96,2000-04-05,4,4.3,5
2001-04-07,4,4.3,7,97,2000-04-06,4,4.3,6
2001-04-08,4,4.3,8,98,2000-04-07,4,4.3,7
2001-04-09,4,4.3,9,99,2000-04-08,4,4.3,8
2001-04-10,4,4.3,10,100,2000-04-09,4,4.3,9
2001-04-11,4,4.3,11,101,2000-04-10,4,4.3,10
2001-04-12,4,4.3,12,102,2000-04-11,4,4.3,11
2001-04-13,4,4.3,13,103,2000-04-12,4,4.3,12
2001-04-14,4,4.3,14,104,2000-04-13,4,4.3,13
2001-04-15,4,4.3,15,105,2000-04-14,4,4.3,14
2001-04-16,4,4.7,16,106,2000-04-15,4,4.3,15
2001-04-17,4,4.7,17,107,2000-04-16,4,4.7,16
2001-04-18,4,4.7,18,108,2000-04-17,4,4.7,17
2001-04-19,4,4.7,19,109,2000-04-18,4,4.7,18
2001-04-20,4,4.7,20,110,2000-04-19,4,4.7,19
2001-04-21,4,4.7,21,111,2000-04-20,4,4.7,20
2001-04-22,4,4.7,22,112,2000-04-21,4,4.7,21
2001-04-23,4,4.7,23,113,2000-04-22,4,4.7,22
2001-04-24,4,4.7,24,114,2000-04-23,4,4.7,23
2001-04-25,4,4.7,25,115,2000-04-24,4,4.7,24
2001-04-26,4,4.7,26,116,2000-04-25,4,4.7,25
2001-04-27,4,4.7,27,117,2000-04-26,4,4.7,26
2001-04-28,4,4.7,28,118,2000-04-27,4,4.7,27
2001-04-29,4,4.7,29,119,2000-04-28,4,4.7,28
2001-04-30,4,4.7,30,120,2000-04-29,4,4.7,29
2001-05-01,5,5.3,1,121,2000-04-30,4,4.7,30
2001-05-02,5,5.3,2,122,2000-05-01,5,5.3,1
2001-05-03,5,5.3,3,123,2000-05-02,5,5.3,2
2001-05-04,5,5.3,4,124,2000-05-03,5,5.3,3
2001-05-05,5,5.3,5,125,2000-05-04,5,5.3,4
2001-05-06,5,5.3,6,126,2000-05-05,5,5.3,5
2001-05-07,5,5.3,7,127,2000-05-06,5,5.3,6
