city,avg_tw,state,half_month
"Orlando FL",9.554181545972824,FL,1.3
"Key West FL",10.09536019153893,FL,1.7
"McAllen TX",8.138616210315377,TX,1.7
"Miami FL",9.919032950885594,FL,1.7
"Phoenix AZ",10.05768267228268,AZ,1.7
"San Juan PR",1.609374988824129,PR,1.7
"Tucson AZ",9.593874793557916,AZ,1.7
"Tampa FL",8.653500698010127,FL,2.3
"Baton Rouge LA",9.14435261413455,LA,3.3
"Gulfport MS",10.238513142367204,MS,3.3
"Honolulu HI",8.88925524155299,HI,3.3
"Houston TX",9.291789619624614,TX,3.3
"Jackson MS",8.775391796727975,MS,3.3
"Las Vegas NV",9.855659930904705,NV,3.3
"Austin TX",9.013937930576503,TX,3.7
"Dallas TX",9.020709820091724,TX,3.7
"Fresno CA",9.596598223783076,CA,3.7
"Sacramento CA",9.776584831532091,CA,3.7
"San Antonio TX",9.436118377372622,TX,3.7
"Tallahassee FL",9.502961291000247,FL,3.7
"Birmingham AL",9.371348463495572,AL,4.3
"Charleston SC",9.680868806441625,SC,4.3
"Montgomery AL",9.076884603003661,AL,4.3
"Savannah GA",9.984533423185349,GA,4.3
"Fayetteville AR",9.296220806241035,AR,4.7
"Memphis TN",9.434103865424792,TN,4.7
"Oklahoma City OK",9.136107861995697,OK,4.7
"Tulsa OK",8.754748225212097,OK,4.7
"Idaho Falls ID",8.343948289255302,ID,5.3
"Lincoln NE",8.21221439441045,NE,5.3
"Billings MT",8.696660730987787,MT,5.7
"Boise ID",9.621333764865994,ID,5.7
"Carson City NV",8.094146653078496,NV,5.7
"Cheyenne WY",8.345680736005306,WY,5.7
"Denver CO",8.192837581969798,CO,5.7
"Grand Junction CO",8.844159313477576,CO,5.7
"Los Angeles CA",11.122691635042429,CA,5.7
"Pierre SD",8.92384496005252,SD,5.7
"Portland OR",10.751025037840009,OR,5.7
"Salem OR",10.88103231601417,OR,5.7
"Salt Lake City UT",8.83508338034153,UT,5.7
"San Diego CA",10.569279659539461,CA,5.7
"San Jose CA",11.11442455649376,CA,5.7
"Santa Barbara CA",12.326994385570288,CA,5.7
"Sioux Falls SD",8.955094788223505,SD,5.7
"Spokane WA",9.57346417196095,WA,5.7
"Bismarck ND",9.409256837765376,ND,6.3
"Buffalo NY",10.960980588197708,NY,6.3
"Burlington VT",10.154641857743263,VT,6.3
"Casper WY",8.075210813681284,WY,6.3
"Helena MT",8.507600739598274,MT,6.3
"Montpelier VT",9.346514198184014,VT,6.7
"Fairbanks AK",10.622204907735188,AK,7.3
"Anchorage AK",11.633333206176758,AK,8.3
"Duluth MN",10.26770582596461,MN,8.3
"San Francisco CA",10.930217409133911,CA,8.3
